DISTRICT,EN,YEAR
BURWOOD,21578,1961
CAMBERWELL,20642,1961
CAULFIELD,21439,1961
COBURG,21501,1961
DANDENONG,37575,1961
DUNDAS,21766,1961
ELSTERNWICK,20589,1961
ESSENDON,24434,1961
EVELYN,30817,1961
FITZROY,17203,1961
FLEMINGTON,18471,1961
FOOTSCRAY,20222,1961
GEELONG,21758,1961
GEELONG WEST,25869,1961
GIPPSLAND EAST,21537,1961
GIPPSLAND SOUTH,23424,1961
GIPPSLAND WEST,22382,1961
GRANT,36649,1961
HAMPDEN,20975,1961
HAWTHORN,18722,1961
IVANHOE,23626,1961
KARA KARA,19521,1961
KEW,21462,1961
LOWAN,20793,1961
MALVERN,19098,1961
MELBOURNE,15758,1961
MENTONE,26167,1961
MIDLANDS,23306,1961
MILDURA,20648,1961
MOONEE PONDS,20225,1961
MOORABBIN,30799,1961
MORNINGTON,28189,1961
MORWELL,22946,1961
MULGRAVE,46023,1961
MURRAY VALLEY,23051,1961
NORTHCOTE,20171,1961
OAKLEIGH,23142,1961
ORMOND,24799,1961
POLWARTH,24794,1961
PORTLAND,22756,1961
PRAHRAN,18295,1961
PRESTON,26512,1961
RESERVOIR,27588,1961
RICHMOND,17634,1961
RINGWOOD,35337,1961
RIPPONLEA,19498,1961
RODNEY,22401,1961
ST KILDA,18580,1961
SANDRINGHAM,26818,1961
SCORESBY,30627,1961
SWAN HILL,19703,1961
TOORAK,18757,1961
WILLIAMSTOWN,19193,1961
YARRAVILLE,21859,1961
ALBERT PARK,16223,1964
BALLARAT NORTH,22914,1964
BALLARAT SOUTH,21887,1964
BALWYN,28438,1964
BENALLA,21091,1964
BENAMBRA,23895,1964
BENDIGO,22157,1964
BOX HILL,37755,1964
BRIGHTON,21133,1964
BROADMEADOWS,52865,1964
BRUNSWICK EAST,15773,1964
BRUNSWICK WEST,18482,1964
BURWOOD,21599,1964
CAMBERWELL,20597,1964
CAULFIELD,21310,1964
COBURG,20970,1964
DANDENONG,45070,1964
DUNDAS,21644,1964
ELSTERNWICK,20887,1964
ESSENDON,25421,1964
EVELYN,35240,1964
FITZROY,16093,1964
FLEMINGTON,18402,1964
FOOTSCRAY,20055,1964
GEELONG,22523,1964
GEELONG WEST,28186,1964
GIPPSLAND EAST,21857,1964
GIPPSLAND SOUTH,24775,1964
GIPPSLAND WEST,22861,1964
GRANT,46160,1964
HAMPDEN,21137,1964
HAWTHORN,18558,1964
IVANHOE,23700,1964
KARA KARA,19409,1964
KEW,21403,1964
LOWAN,21134,1964
MALVERN,18966,1964
MELBOURNE,14228,1964
MENTONE,28065,1964
MIDLANDS,23894,1964
MILDURA,20973,1964
MOONEE PONDS,19976,1964
MOORABBIN,33974,1964
MORNINGTON,33536,1964
MORWELL,24713,1964
MULGRAVE,58067,1964
MURRAY VALLEY,24526,1964
NORTHCOTE,19465,1964
OAKLEIGH,23331,1964
ORMOND,25534,1964
POLWARTH,26603,1964
PORTLAND,23338,1964
PRAHRAN,18283,1964
PRESTON,25958,1964
RESERVOIR,28648,1964
RICHMOND,16164,1964
RINGWOOD,40985,1964
RIPPONLEA,19723,1964
RODNEY,23352,1964
ST KILDA,18561,1964
SANDRINGHAM,27833,1964
SCORESBY,36199,1964
SWAN HILL,20109,1964
TOORAK,18921,1964
WILLIAMSTOWN,18504,1964
YARRAVILLE,20186,1964
ALBERT PARK,24061,1967
BALLARAT NORTH,23510,1967
BALLARAT SOUTH,22741,1967
BALWYN,26404,1967
BELLARINE,20917,1967
BENALLA,17939,1967
BENAMBRA,18579,1967
BENDIGO,22808,1967
BENNETTSWOOD,25753,1967
BENTLEIGH,26073,1967
BOX HILL,29186,1967
BRIGHTON,24998,1967
BROADMEADOWS,28583,1967
BRUNSWICK EAST,24394,1967
BRUNSWICK WEST,24462,1967
CAMBERWELL,24973,1967
CAULFIELD,26248,1967
COBURG,23869,1967
DANDENONG,26701,1967
DEER PARK,29969,1967
DROMANA,19515,1967
DUNDAS,18449,1967
ESSENDON,25508,1967
EVELYN,19763,1967
FOOTSCRAY,24957,1967
FRANKSTON,29381,1967
GEELONG,22503,1967
GEELONG NORTH,23582,1967
GIPPSLAND EAST,18687,1967
GIPPSLAND SOUTH,18788,1967
GIPPSLAND WEST,18076,1967
GISBORNE,19902,1967
GLENHUNTLY,26067,1967
GLEN IRIS,25129,1967
GREENSBOROUGH,29152,1967
HAMPDEN,18078,1967
HAWTHORN,24932,1967
HEATHERTON,26832,1967
IVANHOE,25912,1967
KARA KARA,17343,1967
KEW,25630,1967
LOWAN,18770,1967
MALVERN,26037,1967
MELBOURNE,25897,1967
MENTONE,25088,1967
MIDLANDS,23038,1967
MILDURA,18161,1967
MITCHAM,26570,1967
MONBULK,25174,1967
MOONEE PONDS,26189,1967
MOORABBIN,26147,1967
MORWELL,22627,1967
MURRAY VALLEY,18847,1967
NARRACAN,21955,1967
NORTHCOTE,24564,1967
OAKLEIGH,24827,1967
POLWARTH,17764,1967
PORTLAND,18215,1967
PRAHRAN,26053,1967
PRESTON,26053,1967
RESERVOIR,25668,1967
RICHMOND,23610,1967
RINGWOOD,26666,1967
RODNEY,18662,1967
ST KILDA,26927,1967
SANDRINGHAM,25372,1967
SCORESBY,29242,1967
SHEPPARTON,18929,1967
SUNSHINE,25628,1967
SWAN HILL,18434,1967
SYNDAL,28708,1967
WARRNAMBOOL,18674,1967
WILLIAMSTOWN,26582,1967
ALBERT PARK,22740,1970
BALLARAT NORTH,24137,1970
BALLARAT SOUTH,23073,1970
BALWYN,27124,1970
BELLARINE,24485,1970
BENALLA,18504,1970
BENAMBRA,19016,1970
BENDIGO,23715,1970
BENNETTSWOOD,27469,1970
BENTLEIGH,26642,1970
BOX HILL,36217,1970
BRIGHTON,24721,1970
BROADMEADOWS,34766,1970
BRUNSWICK EAST,23750,1970
BRUNSWICK WEST,23067,1970
CAMBERWELL,24742,1970
CAULFIELD,26691,1970
COBURG,23289,1970
DANDENONG,32802,1970
DEER PARK,37093,1970
DROMANA,23027,1970
DUNDAS,18433,1970
ESSENDON,26398,1970
EVELYN,21211,1970
FOOTSCRAY,24472,1970
FRANKSTON,36809,1970
GEELONG,23051,1970
GEELONG NORTH,25206,1970
GIPPSLAND EAST,19368,1970
GIPPSLAND SOUTH,19770,1970
GIPPSLAND WEST,18666,1970
GISBORNE,24174,1970
GLEN IRIS,24992,1970
GLENHUNTLY,27796,1970
GREENSBOROUGH,36330,1970
HAMPDEN,17990,1970
HAWTHORN,24964,1970
HEATHERTON,32629,1970
IVANHOE,26654,1970
KARA KARA,16875,1970
KEW,25807,1970
LOWAN,18553,1970
MALVERN,25836,1970
MELBOURNE,24656,1970
MENTONE,26925,1970
MIDLANDS,23127,1970
MILDURA,18690,1970
MITCHAM,29303,1970
MONBULK,29096,1970
MOONEE PONDS,25266,1970
MOORABBIN,27405,1970
MORWELL,24058,1970
MURRAY VALLEY,19498,1970
NARRACAN,22567,1970
NORTHCOTE,24180,1970
OAKLEIGH,25162,1970
POLWARTH,18320,1970
PORTLAND,18641,1970
PRAHRAN,25827,1970
PRESTON,24293,1970
RESERVOIR,26854,1970
RICHMOND,21339,1970
RINGWOOD,31471,1970
RODNEY,19245,1970
ST KILDA,25768,1970
SANDRINGHAM,25657,1970
SCORESBY,40486,1970
SHEPPARTON,20041,1970
SUNSHINE,25557,1970
SWAN HILL,18726,1970
SYNDAL,35111,1970
WARRNAMBOOL,19091,1970
WILLIAMSTOWN,28171,1970
ALBERT PARK,22662,1973
BALLARAT NORTH,27142,1973
BALLARAT SOUTH,25732,1973
BALWYN,29826,1973
BELLARINE,32047,1973
BENALLA,19885,1973
BENAMBRA,20866,1973
BENDIGO,26483,1973
BENNETTSWOOD,30790,1973
BENTLEIGH,28686,1973
BOX HILL,46122,1973
BRIGHTON,25865,1973
BROADMEADOWS,47641,1973
BRUNSWICK EAST,24121,1973
BRUNSWICK WEST,24023,1973
CAMBERWELL,25878,1973
CAULFIELD,29360,1973
COBURG,23606,1973
DANDENONG,43253,1973
DEER PARK,48933,1973
DROMANA,29585,1973
DUNDAS,19231,1973
ESSENDON,29556,1973
EVELYN,25863,1973
FOOTSCRAY,24789,1973
FRANKSTON,48210,1973
GEELONG,25651,1973
GEELONG NORTH,28721,1973
GIPPSLAND EAST,21039,1973
GIPPSLAND SOUTH,22106,1973
GIPPSLAND WEST,20882,1973
GISBORNE,34656,1973
GLEN IRIS,26543,1973
GLENHUNTLY,29421,1973
GREENSBOROUGH,47475,1973
HAMPDEN,18886,1973
HAWTHORN,27479,1973
HEATHERTON,41119,1973
IVANHOE,28776,1973
KARA KARA,17649,1973
KEW,27988,1973
LOWAN,19483,1973
MALVERN,27707,1973
MELBOURNE,26740,1973
MENTONE,30301,1973
MIDLANDS,26671,1973
MILDURA,20024,1973
MITCHAM,33118,1973
MONBULK,37569,1973
MOONEE PONDS,26505,1973
MOORABBIN,30410,1973
MORWELL,26145,1973
MURRAY VALLEY,21834,1973
NARRACAN,24435,1973
NORTHCOTE,25584,1973
OAKLEIGH,26814,1973
POLWARTH,19961,1973
PORTLAND,19784,1973
PRAHRAN,27715,1973
PRESTON,25691,1973
RESERVOIR,31004,1973
RICHMOND,21865,1973
RINGWOOD,40734,1973
RODNEY,21133,1973
ST KILDA,27629,1973
SANDRINGHAM,27997,1973
SCORESBY,60500,1973
SHEPPARTON,22929,1973
SUNSHINE,27665,1973
SWAN HILL,19808,1973
SYNDAL,41413,1973
WARRNAMBOOL,21228,1973
WILLIAMSTOWN,31041,1973
ALBERT PARK,31647,1976
ASCOT VALE,29243,1976
BALLARAT NORTH,25751,1976
BALLARAT SOUTH,25980,1976
BALWYN,29119,1976
BENALLA,24971,1976
BENAMBRA,25923,1976
BENDIGO,25704,1976
BENNETTSWOOD,28788,1976
BENTLEIGH,29055,1976
BERWICK,27495,1976
BOX HILL,28862,1976
BRIGHTON,28455,1976
BROADMEADOWS,29720,1976
BRUNSWICK,29483,1976
BUNDOORA,28691,1976
BURWOOD,28227,1976
CARRUM,28728,1976
CAULFIELD,30192,1976
COBURG,28927,1976
DANDENONG,31367,1976
DONCASTER,28436,1976
DROMANA,28034,1976
ESSENDON,28867,1976
EVELYN,28032,1976
FOOTSCRAY,29323,1976
FOREST HILL,29761,1976
FRANKSTON,30198,1976
GEELONG EAST,24837,1976
GEELONG NORTH,25121,1976
GEELONG WEST,25584,1976
GIPPSLAND EAST,25254,1976
GIPPSLAND SOUTH,25408,1976
GISBORNE,27076,1976
GLENHUNTLY,28395,1976
GLENROY,27798,1976
GREENSBOROUGH,30397,1976
HAWTHORN,28122,1976
HEATHERTON,29008,1976
IVANHOE,30856,1976
KEILOR,28973,1976
KEW,29690,1976
KNOX,29360,1976
LOWAN,24722,1976
MALVERN,29564,1976
MELBOURNE,29247,1976
MENTONE,29150,1976
MIDLANDS,24768,1976
MILDURA,24449,1976
MITCHAM,28231,1976
MONBULK,27602,1976
MORWELL,25874,1976
MURRAY VALLEY,25134,1976
NARRACAN,25543,1976
NIDDRIE,27755,1976
NOBLE PARK,30392,1976
NORTHCOTE,29986,1976
OAKLEIGH,29343,1976
POLWARTH,25017,1976
PORTLAND,25440,1976
PRAHRAN,29495,1976
PRESTON,29026,1976
RESERVOIR,29532,1976
RICHMOND,30771,1976
RINGWOOD,28530,1976
RIPON,25704,1976
RODNEY,25308,1976
ST KILDA,30653,1976
SANDRINGHAM,29145,1976
SHEPPARTON,25251,1976
SOUTH BARWON,25907,1976
SPRINGVALE,28035,1976
SUNSHINE,29727,1976
SWAN HILL,25087,1976
SYNDAL,29192,1976
WANTIRNA,29838,1976
WARRANDYTE,29363,1976
WARRNAMBOOL,25119,1976
WERRIBEE,28482,1976
WESTERNPORT,26603,1976
WILLIAMSTOWN,29439,1976
ALBERT PARK,27902,1979
ASCOT VALE,28098,1979
BALLARAT NORTH,27461,1979
BALLARAT SOUTH,27545,1979
BALWYN,28505,1979
BENALLA,25869,1979
BENAMBRA,28168,1979
BENDIGO,27203,1979
BENNETTSWOOD,28444,1979
BENTLEIGH,27913,1979
BERWICK,33097,1979
BOX HILL,28836,1979
BRIGHTON,27271,1979
BROADMEADOWS,34979,1979
BRUNSWICK,28666,1979
BUNDOORA,31052,1979
BURWOOD,27458,1979
CARRUM,30171,1979
CAULFIELD,27954,1979
COBURG,28773,1979
DANDENONG,35979,1979
DONCASTER,30473,1979
DROMANA,31823,1979
ESSENDON,27594,1979
EVELYN,32891,1979
FOOTSCRAY,28052,1979
FOREST HILL,31724,1979
FRANKSTON,32904,1979
GEELONG EAST,26575,1979
GEELONG NORTH,28355,1979
GEELONG WEST,25968,1979
GIPPSLAND EAST,26563,1979
GIPPSLAND SOUTH,26619,1979
GISBORNE,32026,1979
GLENHUNTLY,26622,1979
GLENROY,27615,1979
GREENSBOROUGH,34703,1979
HAWTHORN,27060,1979
HEATHERTON,30909,1979
IVANHOE,30459,1979
KEILOR,35783,1979
KEW,29065,1979
KNOX,31114,1979
LOWAN,25261,1979
MALVERN,28751,1979
MELBOURNE,25415,1979
MENTONE,28873,1979
MIDLANDS,26532,1979
MILDURA,25566,1979
MITCHAM,28827,1979
MONBULK,30262,1979
MORWELL,26878,1979
MURRAY VALLEY,26288,1979
NARRACAN,27236,1979
NIDDRIE,29152,1979
NOBLE PARK,32386,1979
NORTHCOTE,29338,1979
OAKLEIGH,28849,1979
POLWARTH,25168,1979
PORTLAND,25746,1979
PRAHRAN,26766,1979
PRESTON,27267,1979
RESERVOIR,30020,1979
RICHMOND,28908,1979
RINGWOOD,30448,1979
RIPON,26703,1979
RODNEY,26107,1979
ST KILDA,27012,1979
SANDRINGHAM,28051,1979
SHEPPARTON,26880,1979
SOUTH BARWON,29031,1979
SPRINGVALE,30402,1979
SUNSHINE,29798,1979
SWAN HILL,25922,1979
SYNDAL,29789,1979
WANTIRNA,36973,1979
WARRANDYTE,32056,1979
WARRNAMBOOL,25749,1979
WERRIBEE,34550,1979
WESTERNPORT,31323,1979
WILLIAMSTOWN,29523,1979
ALBERT PARK,27705,1982
ASCOT VALE,27759,1982
BALLARAT NORTH,28216,1982
BALLARAT SOUTH,28615,1982
BALWYN,28135,1982
BENALLA,26711,1982
BENAMBRA,30162,1982
BENDIGO,28094,1982
BENNETTSWOOD,28666,1982
BENTLEIGH,27347,1982
BERWICK,39779,1982
BOX HILL,28398,1982
BRIGHTON,25960,1982
BROADMEADOWS,39105,1982
BRUNSWICK,29039,1982
BUNDOORA,33557,1982
BURWOOD,26293,1982
CARRUM,31367,1982
CAULFIELD,26979,1982
COBURG,29323,1982
DANDENONG,39611,1982
DONCASTER,33023,1982
DROMANA,35516,1982
ESSENDON,27164,1982
EVELYN,37613,1982
FOOTSCRAY,28169,1982
FOREST HILL,33778,1982
FRANKSTON,35899,1982
GEELONG EAST,27859,1982
GEELONG NORTH,30338,1982
GEELONG WEST,25794,1982
GIPPSLAND EAST,28280,1982
GIPPSLAND SOUTH,27920,1982
GISBORNE,36125,1982
GLENHUNTLY,26807,1982
GLENROY,28040,1982
GREENSBOROUGH,39109,1982
HAWTHORN,25864,1982
HEATHERTON,32746,1982
IVANHOE,30849,1982
KEILOR,43346,1982
KEW,27839,1982
KNOX,33774,1982
LOWAN,25570,1982
MALVERN,27155,1982
MELBOURNE,23657,1982
MENTONE,28581,1982
MIDLANDS,28423,1982
MILDURA,26785,1982
MITCHAM,29071,1982
MONBULK,32748,1982
MORWELL,28658,1982
MURRAY VALLEY,27182,1982
NARRACAN,29055,1982
NIDDRIE,30651,1982
NOBLE PARK,36298,1982
NORTHCOTE,29412,1982
OAKLEIGH,28152,1982
POLWARTH,25595,1982
PORTLAND,26521,1982
PRAHRAN,25550,1982
PRESTON,26739,1982
RESERVOIR,29990,1982
RICHMOND,28586,1982
RINGWOOD,31926,1982
RIPON,27322,1982
RODNEY,27353,1982
ST KILDA,26612,1982
SANDRINGHAM,27472,1982
SHEPPARTON,29093,1982
SOUTH BARWON,31805,1982
SPRINGVALE,32277,1982
SUNSHINE,30363,1982
SWAN HILL,26561,1982
SYNDAL,29734,1982
WANTIRNA,43618,1982
WARRANDYTE,35894,1982
WARRNAMBOOL,26503,1982
WERRIBEE,42004,1982
WESTERNPORT,34426,1982
WILLIAMSTOWN,29627,1982
ALBERT PARK,29824,1985
BALLARAT NORTH,31119,1985
BALLARAT SOUTH,30681,1985
BALWYN,30324,1985
BELLARINE,29959,1985
BENALLA,30172,1985
BENAMBRA,29769,1985
BENDIGO EAST,30133,1985
BENDIGO WEST,31300,1985
BENNETTSWOOD,31432,1985
BENTLEIGH,29880,1985
BERWICK,31074,1985
BOX HILL,30843,1985
BRIGHTON,31106,1985
BROADMEADOWS,27859,1985
BRUNSWICK,30524,1985
BULLEEN,29571,1985
BUNDOORA,28860,1985
BURWOOD,29873,1985
CARRUM,28696,1985
CAULFIELD,30759,1985
CLAYTON,30153,1985
COBURG,30688,1985
DANDENONG,29569,1985
DANDENONG NORTH,28672,1985
DERRIMUT,29159,1985
DONCASTER,28470,1985
DOVETON,29005,1985
DROMANA,30105,1985
ESSENDON,30790,1985
EVELYN,30350,1985
FOOTSCRAY,32137,1985
FOREST HILL,29219,1985
FRANKSTON NORTH,29857,1985
FRANKSTON SOUTH,29492,1985
GEELONG,31388,1985
GEELONG NORTH,29236,1985
GIPPSLAND EAST,28866,1985
GIPPSLAND SOUTH,30317,1985
GIPPSLAND WEST,31729,1985
GISBORNE,30619,1985
GLEN WAVERLEY,29478,1985
GREENSBOROUGH,28966,1985
HAWTHORN,31754,1985
IVANHOE,31067,1985
KEILOR,29671,1985
KEW,30535,1985
KNOX,27865,1985
LOWAN,28629,1985
MALVERN,29949,1985
MELBOURNE,30396,1985
MENTONE,30373,1985
MILDURA,28722,1985
MITCHAM,30186,1985
MONBULK,29273,1985
MORNINGTON,30629,1985
MORWELL,29979,1985
MURRAY VALLEY,30959,1985
NARRACAN,29436,1985
NIDDRIE,29718,1985
NORTHCOTE,30708,1985
OAKLEIGH,29952,1985
PASCOE VALE,30091,1985
POLWARTH,30277,1985
PORTLAND,28857,1985
PRAHRAN,31815,1985
PRESTON,32004,1985
RESERVOIR,30527,1985
RICHMOND,31068,1985
RINGWOOD,29873,1985
RIPON,29911,1985
RODNEY,30261,1985
ST ALBANS,31574,1985
ST KILDA,30828,1985
SANDRINGHAM,30800,1985
SHEPPARTON,29622,1985
SOUTH BARWON,28343,1985
SPRINGVALE,29650,1985
SUNSHINE,30351,1985
SWAN HILL,28043,1985
SYNDAL,29182,1985
THOMASTOWN,29739,1985
WANTIRNA,28508,1985
WARRANDYTE,28506,1985
WARRNAMBOOL,29390,1985
WERRIBEE,29424,1985
WHITTLESEA,30198,1985
WILLIAMSTOWN,30811,1985
ALBERT PARK,28551,1988
BALLARAT NORTH,32194,1988
BALLARAT SOUTH,33491,1988
BALWYN,29518,1988
BELLARINE,32998,1988
BENALLA,31248,1988
BENAMBRA,32735,1988
BENDIGO EAST,32269,1988
BENDIGO WEST,33668,1988
BENNETTSWOOD,31004,1988
BENTLEIGH,28601,1988
BERWICK,37351,1988
BOX HILL,29135,1988
BRIGHTON,30085,1988
BROADMEADOWS,26475,1988
BRUNSWICK,29834,1988
BULLEEN,31573,1988
BUNDOORA,30167,1988
BURWOOD,28868,1988
CARRUM,30288,1988
CAULFIELD,28881,1988
CLAYTON,30052,1988
COBURG,29335,1988
DANDENONG,28772,1988
DANDENONG NORTH,29751,1988
DERRIMUT,32258,1988
DONCASTER,31165,1988
DOVETON,40202,1988
DROMANA,34394,1988
ESSENDON,29191,1988
EVELYN,34139,1988
FOOTSCRAY,31452,1988
FOREST HILL,30545,1988
FRANKSTON NORTH,31358,1988
FRANKSTON SOUTH,31440,1988
GEELONG,29765,1988
GEELONG NORTH,30853,1988
GIPPSLAND EAST,31081,1988
GIPPSLAND SOUTH,31835,1988
GIPPSLAND WEST,34638,1988
GISBORNE,33163,1988
GLEN WAVERLEY,31452,1988
GREENSBOROUGH,32618,1988
HAWTHORN,30309,1988
IVANHOE,30622,1988
KEILOR,36950,1988
KEW,29541,1988
KNOX,29454,1988
LOWAN,28673,1988
MALVERN,28614,1988
MELBOURNE,28299,1988
MENTONE,29593,1988
MILDURA,30691,1988
MITCHAM,29584,1988
MONBULK,30721,1988
MORNINGTON,36614,1988
MORWELL,30494,1988
MURRAY VALLEY,32867,1988
NARRACAN,30406,1988
NIDDRIE,30625,1988
NORTHCOTE,29898,1988
OAKLEIGH,28745,1988
PASCOE VALE,28663,1988
POLWARTH,31392,1988
PORTLAND,29347,1988
PRAHRAN,29115,1988
PRESTON,30189,1988
RESERVOIR,30069,1988
RICHMOND,30425,1988
RINGWOOD,31199,1988
RIPON,30677,1988
RODNEY,31231,1988
ST ALBANS,32708,1988
ST KILDA,28162,1988
SANDRINGHAM,29414,1988
SHEPPARTON,31065,1988
SOUTH BARWON,31167,1988
SPRINGVALE,30558,1988
SUNSHINE,29265,1988
SWAN HILL,28014,1988
SYNDAL,28610,1988
THOMASTOWN,34598,1988
WANTIRNA,31044,1988
WARRANDYTE,33082,1988
WARRNAMBOOL,30222,1988
WERRIBEE,36954,1988
WHITTLESEA,36874,1988
WILLIAMSTOWN,31231,1988
ALBERT PARK,33819,1992
ALTONA,30268,1992
BALLARAT EAST,30192,1992
BALLARAT WEST,30769,1992
BAYSWATER,33909,1992
BELLARINE,30582,1992
BENALLA,31795,1992
BENAMBRA,31450,1992
BENDIGO EAST,30992,1992
BENDIGO WEST,32197,1992
BENNETTSWOOD,33180,1992
BENTLEIGH,33560,1992
BERWICK,31776,1992
BOX HILL,33186,1992
BRIGHTON,32769,1992
BROADMEADOWS,30828,1992
BULLEEN,32423,1992
BUNDOORA,34662,1992
BURWOOD,33375,1992
CARRUM,33458,1992
CAULFIELD,34806,1992
CLAYTON,34141,1992
COBURG,33221,1992
CRANBOURNE,33106,1992
DANDENONG,33075,1992
DANDENONG NORTH,32542,1992
DONCASTER,33557,1992
DROMANA,32537,1992
ELTHAM,35275,1992
ESSENDON,32819,1992
EVELYN,32350,1992
FOOTSCRAY,32631,1992
FOREST HILL,33378,1992
FRANKSTON,31766,1992
FRANKSTON EAST,29060,1992
GEELONG,34106,1992
GEELONG NORTH,32908,1992
GIPPSLAND EAST,30884,1992
GIPPSLAND SOUTH,32704,1992
GIPPSLAND WEST,29502,1992
GISBORNE,31646,1992
GLEN WAVERLEY,31839,1992
HAWTHORN,34657,1992
IVANHOE,32763,1992
KEILOR,33939,1992
KEW,33080,1992
KNOX,32710,1992
MALVERN,33783,1992
MELBOURNE,33560,1992
MELTON,31563,1992
MILDURA,30948,1992
MILL PARK,32275,1992
MITCHAM,33108,1992
MONBULK,30993,1992
MOOROOLBARK,31401,1992
MORDIALLOC,31791,1992
MORNINGTON,30437,1992
MORWELL,33493,1992
MURRAY VALLEY,33179,1992
NARRACAN,31176,1992
NIDDRIE,32033,1992
NORTHCOTE,33902,1992
OAKLEIGH,32554,1992
PAKENHAM,30408,1992
PASCOE VALE,30896,1992
POLWARTH,32325,1992
PORTLAND,30939,1992
PRAHRAN,35113,1992
PRESTON,33116,1992
RICHMOND,35127,1992
RIPON,31622,1992
RODNEY,31603,1992
SANDRINGHAM,33237,1992
SEYMOUR,31683,1992
SHEPPARTON,31635,1992
SOUTH BARWON,30907,1992
SPRINGVALE,33567,1992
SUNSHINE,35091,1992
SWAN HILL,31530,1992
THOMASTOWN,33112,1992
TULLAMARINE,32178,1992
WANTIRNA,32121,1992
WARRANDYTE,30559,1992
WARRNAMBOOL,32448,1992
WERRIBEE,32645,1992
WILLIAMSTOWN,32774,1992
WIMMERA,33507,1992
YAN YEAN,30931,1992
ALBERT PARK,37480,1996
ALTONA,33229,1996
BALLARAT EAST,31581,1996
BALLARAT WEST,31914,1996
BAYSWATER,34454,1996
BELLARINE,32466,1996
BENALLA,32966,1996
BENAMBRA,33837,1996
BENDIGO EAST,32794,1996
BENDIGO WEST,33907,1996
BENNETTSWOOD,32880,1996
BENTLEIGH,33850,1996
BERWICK,38794,1996
BOX HILL,33537,1996
BRIGHTON,33421,1996
BROADMEADOWS,34489,1996
BULLEEN,32991,1996
BUNDOORA,35535,1996
BURWOOD,33722,1996
CARRUM,35676,1996
CAULFIELD,36424,1996
CLAYTON,35509,1996
COBURG,34394,1996
CRANBOURNE,38062,1996
DANDENONG,39727,1996
DANDENONG NORTH,33225,1996
DONCASTER,34695,1996
DROMANA,33917,1996
ELTHAM,38186,1996
ESSENDON,33728,1996
EVELYN,34655,1996
FOOTSCRAY,33297,1996
FOREST HILL,33610,1996
FRANKSTON,32410,1996
FRANKSTON EAST,28976,1996
GEELONG,34099,1996
GEELONG NORTH,33570,1996
GIPPSLAND EAST,32716,1996
GIPPSLAND SOUTH,32958,1996
GIPPSLAND WEST,31348,1996
GISBORNE,33807,1996
GLEN WAVERLEY,31883,1996
HAWTHORN,35652,1996
IVANHOE,32883,1996
KEILOR,38163,1996
KEW,34235,1996
KNOX,35772,1996
MALVERN,34849,1996
MELBOURNE,37574,1996
MELTON,37746,1996
MILDURA,32165,1996
MILL PARK,36729,1996
MITCHAM,33861,1996
MONBULK,32217,1996
MOOROOLBARK,32693,1996
MORDIALLOC,32249,1996
MORNINGTON,33527,1996
MORWELL,33541,1996
MURRAY VALLEY,34420,1996
NARRACAN,31360,1996
NIDDRIE,32772,1996
NORTHCOTE,34884,1996
OAKLEIGH,33229,1996
PAKENHAM,33036,1996
PASCOE VALE,30828,1996
POLWARTH,32761,1996
PORTLAND,30201,1996
PRAHRAN,37891,1996
PRESTON,33126,1996
RICHMOND,39405,1996
RIPON,31819,1996
RODNEY,32425,1996
SANDRINGHAM,33745,1996
SEYMOUR,33341,1996
SHEPPARTON,33104,1996
SOUTH BARWON,33512,1996
SPRINGVALE,34119,1996
SUNSHINE,36834,1996
SWAN HILL,30788,1996
THOMASTOWN,34330,1996
TULLAMARINE,36359,1996
WANTIRNA,35087,1996
WARRANDYTE,32457,1996
WARRNAMBOOL,33711,1996
WERRIBEE,38146,1996
WILLIAMSTOWN,33966,1996
WIMMERA,33166,1996
YAN YEAN,34679,1996
ALBERT PARK,39365,1999
ALTONA,36589,1999
BALLARAT EAST,32526,1999
BALLARAT WEST,32893,1999
BAYSWATER,35427,1999
BELLARINE,34423,1999
BENALLA,34087,1999
BENAMBRA,35378,1999
BENDIGO EAST,34094,1999
BENDIGO WEST,34932,1999
BENNETTSWOOD,32822,1999
BENTLEIGH,34492,1999
BERWICK,44452,1999
BOX HILL,34009,1999
BRIGHTON,34221,1999
BROADMEADOWS,36559,1999
BULLEEN,33760,1999
BUNDOORA,36747,1999
BURWOOD,34668,1999
CARRUM,38150,1999
CAULFIELD,37601,1999
CLAYTON,36653,1999
COBURG,35338,1999
CRANBOURNE,41084,1999
DANDENONG,46056,1999
DANDENONG NORTH,33802,1999
DONCASTER,35902,1999
DROMANA,36014,1999
ELTHAM,40355,1999
ESSENDON,34636,1999
EVELYN,34655,1999
FOOTSCRAY,34174,1999
FOREST HILL,33431,1999
FRANKSTON,33431,1999
FRANKSTON EAST,28877,1999
GEELONG,33830,1999
GEELONG NORTH,34379,1999
GIPPSLAND EAST,33075,1999
GIPPSLAND SOUTH,32761,1999
GIPPSLAND WEST,32796,1999
GISBORNE,36390,1999
GLEN WAVERLEY,31984,1999
HAWTHORN,36943,1999
IVANHOE,33205,1999
KEILOR,42091,1999
KEW,35644,1999
KNOX,39768,1999
MALVERN,35940,1999
MELBOURNE,41000,1999
MELTON,44047,1999
MILDURA,33191,1999
MILL PARK,41456,1999
MITCHAM,34479,1999
MONBULK,33627,1999
MOOROOLBARK,34835,1999
MORDIALLOC,32829,1999
MORNINGTON,36840,1999
MORWELL,33737,1999
MURRAY VALLEY,34790,1999
NARRACAN,31688,1999
