DISTRICT,EN,YEAR
COLLINGWOOD,5541,1900
CRESWICK,1812,1900
DANDENONG AND BERWICK,4179,1900
DAYLESFORD,2035,1900
DELATITE,2592,1900
SWAN HILL,6175,1900
DUNDAS,2363,1900
DUNOLLY,2041,1900
EAGLEHAWK,2018,1900
EAST BOURKE BOROUGHS,10159,1900
EASTERN SUBURBS,5199,1900
EMERALD HILL,2894,1900
ESSENDON AND FLEMINGTON,5982,1900
EVELYN,3788,1900
FITZROY,6572,1900
FOOTSCRAY,4304,1900
GEELONG,6227,1900
GIPPSLAND CENTRAL,3284,1900
GIPPSLAND EAST,3251,1900
GIPPSLAND NORTH,2254,1900
GIPPSLAND SOUTH,3020,1900
GIPPSLAND WEST,4574,1900
GRANT,2424,1900
GRENVILLE,4291,1900
GUNBOWER,2428,1900
HAWTHORN,4689,1900
HORSHAM,2056,1900
WEST RICHMOND,2482,1900
KARA KARA,2117,1900
"KILMORE, DALHOUSIE AND LANCEFIELD",2176,1900
KORONG,2328,1900
KYNETON,2479,1900
LOWAN,2539,1900
MALDON,2004,1900
MANDURANG,2218,1900
MARYBOROUGH,2225,1900
MELBOURNE,4867,1900
MELBOURNE EAST,4825,1900
MELBOURNE NORTH,3773,1900
MELBOURNE SOUTH,2742,1900
MELBOURNE WEST,2955,1900
MORNINGTON,4458,1900
NORMANBY,1985,1900
NUMURKAH AND NATHALIA,2231,1900
OVENS,2215,1900
POLWARTH,3351,1900
PORT FAIRY,2081,1900
PORT MELBOURNE,2676,1900
PORTLAND,2081,1900
PRAHRAN,3491,1900
RICHMOND,6021,1900
RIPON AND HAMPDEN,2912,1900
RODNEY,5649,1900
ST KILDA,3959,1900
SANDHURST,5979,1900
SANDHURST SOUTH,2344,1900
SHEPPARTON AND EUROA,2403,1900
SOUTH YARRA,2959,1900
STAWELL,2224,1900
TALBOT AND AVOCA,2403,1900
TOORAK,4895,1900
VILLIERS AND HEYTESBURY,2719,1900
WANGARATTA AND RUTHERGLE,3585,1900
WARRENHEIP,2200,1900
WARRNAMBOOL,2634,1900
WILLIAMSTOWN,3238,1900
WINDERMERE,1746,1900
YARRAWONGA,2969,1900
ALBERT PARK,3129,1902
ANGLESEY,3693,1902
ARARAT,2395,1902
BALLARAT EAST,3417,1902
BALLARAT WEST,6430,1902
BARWON,2383,1902
BENALLA AND YARRAWONGA,3387,1902
BENAMBRA,2403,1902
BOGONG,2438,1902
BORUNG,3043,1902
BOURKE EAST,2899,1902
BOURKE WEST,2169,1902
BRIGHTON,3766,1902
CARLTON,3909,1902
CARLTON SOUTH,2671,1902
CASTLEMAINE,3870,1902
CLUNES AND ALLANDALE,1654,1902
COLLINGWOOD,5469,1902
CRESWICK,1857,1902
DANDENONG AND BERWICK,4475,1902
DAYLESFORD,1883,1902
DELATITE,2670,1902
SWAN HILL,6140,1902
DUNDAS,2619,1902
DUNOLLY,2083,1902
EAGLEHAWK,2416,1902
EAST BOURKE BOROUGHS,10624,1902
EASTERN SUBURBS,5451,1902
EMERALD HILL,2821,1902
ESSENDON AND FLEMINGTON,6914,1902
EVELYN,4044,1902
FITZROY,7351,1902
FOOTSCRAY,4843,1902
GEELONG,6488,1902
GIPPSLAND CENTRAL,3194,1902
GIPPSLAND EAST,3000,1902
GIPPSLAND NORTH,2281,1902
GIPPSLAND SOUTH,3616,1902
GIPPSLAND WEST,5050,1902
GRANT,2447,1902
GRENVILLE,4563,1902
GUNBOWER,2628,1902
HAWTHORN,4272,1902
HORSHAM,1944,1902
WEST RICHMOND,2603,1902
KARA KARA,2115,1902
"KILMORE, DALHOUSIE AND LANCEFIELD",2374,1902
KORONG,2222,1902
KYNETON,2736,1902
LOWAN,2357,1902
MALDON,2006,1902
MANDURANG,2190,1902
MARYBOROUGH,2610,1902
MELBOURNE,4565,1902
MELBOURNE EAST,5395,1902
MELBOURNE NORTH,3525,1902
MELBOURNE SOUTH,2709,1902
MELBOURNE WEST,2441,1902
MORNINGTON,4667,1902
NORMANBY,2112,1902
NUMURKAH AND NATHALIA,2234,1902
OVENS,2290,1902
POLWARTH,3458,1902
PORT FAIRY,2153,1902
PORT MELBOURNE,2732,1902
PORTLAND,2151,1902
PRAHRAN,3163,1902
RICHMOND,6869,1902
RIPON AND HAMPDEN,3288,1902
RODNEY,6220,1902
ST KILDA,4426,1902
SANDHURST,6660,1902
SANDHURST SOUTH,2471,1902
SHEPPARTON AND EUROA,2449,1902
SOUTH YARRA,2989,1902
STAWELL,2357,1902
TALBOT AND AVOCA,1935,1902
TOORAK,4753,1902
VILLIERS AND HEYTESBURY,2708,1902
WANGARATTA AND RUTHERGLE,3982,1902
WARRENHEIP,2182,1902
WARRNAMBOOL,2311,1902
WILLIAMSTOWN,3411,1902
WINDERMERE,1696,1902
ABBOTSFORD,4458,1904
ALBERT PARK,5056,1904
ALLANDALE,3815,1904
BALLARAT EAST,4672,1904
BALLARAT WEST,4450,1904
BARWON,3788,1904
BENALLA,3788,1904
BENAMBRA,2786,1904
BENDIGO EAST,3809,1904
BENDIGO WEST,4459,1904
BOROONDARA,5016,1904
BORUNG,3207,1904
BRIGHTON,3581,1904
BRUNSWICK,4787,1904
BULLA,3894,1904
CARLTON,4775,1904
CASTLEMAINE AND MALDON,3904,1904
COLLINGWOOD,5469,1904
DALHOUSIE,3986,1904
DANDENONG,4146,1904
DAYLESFORD,3333,1904
DUNDAS,3043,1904
EAGLEHAWK,3892,1904
EAST MELBOURNE,4545,1904
ESSENDON,5193,1904
EVELYN,3213,1904
FITZROY,4642,1904
FLEMINGTON,4736,1904
GEELONG,4728,1904
GIPPSLAND EAST,3045,1904
GIPPSLAND NORTH,2995,1904
GIPPSLAND SOUTH,4139,1904
GIPPSLAND WEST,3375,1904
GLENELG,3367,1904
GOULBURN VALLEY,3319,1904
GRENVILLE,3940,1904
GUNBOWER,3131,1904
HAMPDEN,4244,1904
HAWTHORN,5736,1904
JIKA JIKA,4644,1904
KARA KARA,3529,1904
KORONG,2787,1904
LOWAN,3029,1904
MARYBOROUGH,4401,1904
MELBOURNE,5820,1904
MORNINGTON,4231,1904
NORTH MELBOURNE,5247,1904
OVENS,3351,1904
POLWARTH,3589,1904
PORT FAIRY,3782,1904
PORT MELBOURNE,5344,1904
PRAHRAN,4980,1904
RICHMOND,5282,1904
RODNEY,3906,1904
ST KILDA,5024,1904
STAWELL AND ARARAT,3674,1904
SWAN HILL,3294,1904
TOORAK,4900,1904
UPPER GOULBURN,3825,1904
WALHALLA,2817,1904
WANGARATTA,5820,1904
WARANGA,3381,1904
WARRENHEIP,3600,1904
WARRNAMBOOL,2538,1904
WILLIAMSTOWN,5723,1904
PUBLIC OFFICERS,3928,1904
OFFICERS,6336,1904
ABBOTSFORD,4303,1907
ALBERT PARK,5045,1907
ALLANDALE,3153,1907
BALLARAT EAST,4278,1907
BALLARAT WEST,4041,1907
BARWON,3891,1907
BENALLA,3563,1907
BENAMBRA,2672,1907
BENDIGO EAST,3841,1907
BENDIGO WEST,4382,1907
BOROONDARA,5016,1907
BORUNG,3127,1907
BRIGHTON,4121,1907
BRUNSWICK,5330,1907
BULLA,3764,1907
CARLTON,4439,1907
CASTLEMAINE AND MALDON,3388,1907
COLLINGWOOD,4499,1907
DALHOUSIE,3986,1907
DANDENONG,4263,1907
DAYLESFORD,3156,1907
DUNDAS,3098,1907
EAGLEHAWK,3582,1907
EAST MELBOURNE,4346,1907
ESSENDON,5810,1907
EVELYN,3641,1907
FITZROY,4269,1907
FLEMINGTON,5384,1907
GEELONG,4414,1907
GIPPSLAND EAST,3101,1907
GIPPSLAND NORTH,3060,1907
GIPPSLAND SOUTH,3875,1907
GIPPSLAND WEST,3303,1907
GLENELG,3600,1907
GOULBURN VALLEY,3257,1907
GRENVILLE,3693,1907
GUNBOWER,3067,1907
HAMPDEN,4064,1907
HAWTHORN,5833,1907
JIKA JIKA,5660,1907
KARA KARA,3229,1907
KORONG,2736,1907
LOWAN,3102,1907
MARYBOROUGH,3828,1907
MELBOURNE,5918,1907
MORNINGTON,4275,1907
NORTH MELBOURNE,5364,1907
OVENS,3035,1907
POLWARTH,3774,1907
PORT FAIRY,3580,1907
PORT MELBOURNE,5483,1907
PRAHRAN,4903,1907
RICHMOND,5091,1907
RODNEY,3542,1907
ST KILDA,4840,1907
STAWELL AND ARARAT,3260,1907
SWAN HILL,3114,1907
TOORAK,4751,1907
UPPER GOULBURN,3661,1907
WALHALLA,2830,1907
WANGARATTA,3735,1907
WARANGA,2953,1907
WARRENHEIP,3073,1907
WARRNAMBOOL,3278,1907
WILLIAMSTOWN,5723,1907
Liberals ABBOTSFORD,4462,1908
ALBERT PARK,5171,1908
ALLANDALE,3145,1908
BALLARAT EAST,4153,1908
BALLARAT WEST,3986,1908
BARWON,3997,1908
BENALLA,3555,1908
BENAMBRA,2793,1908
BENDIGO EAST,4031,1908
BENDIGO WEST,4321,1908
BOROONDARA,5333,1908
BORUNG,2948,1908
BRIGHTON,4121,1908
BRUNSWICK,5460,1908
BULLA,3936,1908
CARLTON,4222,1908
CASTLEMAINE AND MALDON,3417,1908
COLLINGWOOD,4499,1908
DALHOUSIE,3600,1908
DANDENONG,4365,1908
DAYLESFORD,3235,1908
DUNDAS,3234,1908
EAGLEHAWK,3729,1908
EAST MELBOURNE,4266,1908
ESSENDON,6200,1908
EVELYN,3717,1908
FITZROY,4057,1908
FLEMINGTON,5444,1908
GEELONG,4486,1908
GIPPSLAND EAST,3172,1908
GIPPSLAND NORTH,3157,1908
GIPPSLAND SOUTH,3898,1908
GIPPSLAND WEST,3262,1908
GLENELG,3633,1908
GOULBURN VALLEY,3257,1908
GRENVILLE,3582,1908
GUNBOWER,3104,1908
HAMPDEN,4025,1908
HAWTHORN,5999,1908
JIKA JIKA,6039,1908
KARA KARA,3288,1908
KORONG,2710,1908
LOWAN,3021,1908
MARYBOROUGH,3940,1908
MELBOURNE,5636,1908
MORNINGTON,4185,1908
NORTH MELBOURNE,5362,1908
OVENS,2949,1908
POLWARTH,3815,1908
PORT FAIRY,3644,1908
PORT MELBOURNE,5405,1908
PRAHRAN,4969,1908
RICHMOND,5230,1908
RODNEY,3542,1908
ST KILDA,5010,1908
STAWELL AND ARARAT,3330,1908
SWAN HILL,3246,1908
TOORAK,4910,1908
UPPER GOULBURN,3763,1908
WALHALLA,2897,1908
WANGARATTA,3849,1908
WARANGA,2929,1908
WARRENHEIP,2891,1908
WARRNAMBOOL,3217,1908
WILLIAMSTOWN,6148,1908
ABBOTSFORD,12580,1911
ALBERT PARK,18029,1911
ALLANDALE,6709,1911
BALLARAT EAST,10272,1911
BALLARAT WEST,10184,1911
BARWON,10373,1911
BENALLA,7694,1911
BENAMBRA,6610,1911
BENDIGO EAST,9434,1911
BENDIGO WEST,10292,1911
BOROONDARA,19421,1911
BORUNG,7426,1911
BRIGHTON,13457,1911
BRUNSWICK,17371,1911
BULLA,9514,1911
CARLTON,12285,1911
CASTLEMAINE AND MALDON,7165,1911
COLLINGWOOD,13378,1911
DALHOUSIE,7642,1911
DANDENONG,11228,1911
DAYLESFORD,7405,1911
DUNDAS,7824,1911
EAGLEHAWK,8131,1911
EAST MELBOURNE,11026,1911
ESSENDON,18494,1911
EVELYN,8692,1911
FITZROY,13705,1911
FLEMINGTON,16130,1911
GEELONG,11515,1911
GIPPSLAND EAST,6346,1911
GIPPSLAND NORTH,8247,1911
GIPPSLAND SOUTH,8991,1911
GIPPSLAND WEST,8146,1911
GLENELG,8454,1911
GOULBURN VALLEY,8507,1911
GRENVILLE,6908,1911
GUNBOWER,7845,1911
HAMPDEN,11008,1911
HAWTHORN,20610,1911
JIKA JIKA,18353,1911
KARA KARA,7447,1911
KORONG,6685,1911
LOWAN,9059,1911
MARYBOROUGH,7945,1911
MELBOURNE,7726,1911
MORNINGTON,12908,1911
NORTH MELBOURNE,15008,1911
OVENS,6955,1911
POLWARTH,10567,1911
PORT FAIRY,7624,1911
PORT MELBOURNE,15395,1911
PRAHRAN,17843,1911
RICHMOND,14482,1911
RODNEY,8877,1911
ST KILDA,19340,1911
STAWELL AND ARARAT,8096,1911
