DISTRICT,EN,YEAR,SEATS,PROP,Category
BULLA AND DALHOUSIE,9971,1927,1,9971,RURAL
WALHALLA,10213,1929,1,10213,RURAL
BULLA AND DALHOUSIE,9959,1929,1,9959,RURAL
WARANGA,9229,1929,1,9229,RURAL
BULLA AND DALHOUSIE,10366,1932,1,10366,RURAL
WARRNAMBOOL,10466,1929,1,10466,RURAL
WILLIAMSTOWN,21549,1929,1,21549,URBAN
BULLA AND DALHOUSIE,10125,1935,1,10125,RURAL
BULLA AND DALHOUSIE,10096,1937,1,10096,RURAL
ALBERT PARK,22431,1932,1,22431,URBAN
ALLENDALE,10038,1932,1,10038,RURAL
BULLA AND DALHOUSIE,9941,1940,1,9941,RURAL
BARWON,12100,1932,1,12100,RURAL
BENALLA,10142,1932,1,10142,RURAL
BENAMBRA,8938,1932,1,8938,RURAL
BULLA AND DALHOUSIE,10251,1943,1,10251,RURAL
BOROONDARA,26127,1932,1,26127,URBAN
BRIGHTON,25429,1932,1,25429,URBAN
BRUNSWICK,24691,1932,1,24691,URBAN
BULLEEN,29571,1985,1,29571,URBAN
CARLTON,20099,1932,1,20099,URBAN
BULLEEN,31573,1988,1,31573,URBAN
BULLEEN,32423,1992,1,32423,URBAN
BULLEEN,32991,1996,1,32991,URBAN
BULLEEN,33760,1999,1,33760,URBAN
COLLINGWOOD,22306,1932,1,22306,URBAN
DANDENONG,26254,1932,1,26254,RURAL
DUNDAS,11239,1932,1,11239,RURAL
ESSENDON,22891,1932,1,22891,URBAN
EVELYN,10709,1932,1,10709,RURAL
FLEMINGTON,20852,1932,1,20852,URBAN
BULLEEN,34839,2002,1,34839,URBAN
GEELONG,18019,1932,1,18019,METRO
GIPPSLAND EAST,7771,1932,1,7771,RURAL
GIPPSLAND NORTH,10732,1932,1,10732,RURAL
GIPPSLAND SOUTH,11224,1932,1,11224,RURAL
GIPPSLAND WEST,11332,1932,1,11332,RURAL
GOULBURN VALLEY,11592,1932,1,11592,RURAL
BULLEEN,34692,2006,1,34692,URBAN
GUNBOWER,10991,1932,1,10991,RURAL
HAMPDEN,10905,1932,1,10905,RURAL
HAWTHORN,22720,1932,1,22720,URBAN
BULLEEN,35488,2010,1,35488,URBAN
BULLEEN,44072,2014,1,44072,URBAN
BULLEEN,44110,2018,1,44110,URBAN
BUNDOORA,28691,1976,1,28691,URBAN
LOWAN,11420,1932,1,11420,RURAL
BUNDOORA,31052,1979,1,31052,URBAN
MELBOURNE,19181,1932,1,19181,URBAN
BUNDOORA,33557,1982,1,33557,URBAN
MORNINGTON,12659,1932,1,12659,RURAL
BUNDOORA,28860,1985,1,28860,URBAN
BUNDOORA,30167,1988,1,30167,URBAN
BUNDOORA,34662,1992,1,34662,URBAN
BUNDOORA,35535,1996,1,35535,URBAN
POLWARTH,11306,1932,1,11306,RURAL
BUNDOORA,36747,1999,1,36747,URBAN
PORT MELBOURNE,21188,1932,1,21188,URBAN
PRAHRAN,24049,1932,1,24049,URBAN
RICHMOND,23625,1932,1,23625,URBAN
RODNEY,11521,1932,1,11521,RURAL
ST KILDA,26027,1932,1,26027,URBAN
STAWELL AND ARARAT,11277,1932,1,11277,RURAL
BUNDOORA,35029,2002,1,35029,URBAN
TOORAK,22496,1932,1,22496,URBAN
UPPER GOULBURN,9457,1932,1,9457,RURAL
BUNDOORA,35354,2006,1,35354,URBAN
WALHALLA,10638,1932,1,10638,RURAL
BUNDOORA,36644,2010,1,36644,URBAN
WARANGA,9414,1932,1,9414,RURAL
BUNDOORA,39435,2014,1,39435,URBAN
WARRNAMBOOL,11455,1932,1,11455,RURAL
WILLIAMSTOWN,21824,1932,1,21824,URBAN
BUNDOORA,40892,2018,1,40892,URBAN
ALBERT PARK,23066,1935,1,23066,URBAN
ALLENDALE,10454,1935,1,10454,RURAL
BUNINYONG,40891,2014,1,40891,URBAN
BARWON,12513,1935,1,12513,RURAL
BENALLA,10671,1935,1,10671,RURAL
BENAMBRA,9029,1935,1,9029,RURAL
BUNINYONG,45559,2018,1,45559,URBAN
BOROONDARA,27566,1935,1,27566,URBAN
BRIGHTON,26787,1935,1,26787,URBAN
BRUNSWICK,25787,1935,1,25787,URBAN
BURWOOD,21287,1955,1,21287,URBAN
CARLTON,21252,1935,1,21252,URBAN
BURWOOD,21622,1958,1,21622,URBAN
BURWOOD,21578,1961,1,21578,URBAN
BURWOOD,21599,1964,1,21599,URBAN
BURWOOD,28227,1976,1,28227,URBAN
COLLINGWOOD,23346,1935,1,23346,URBAN
DANDENONG,27968,1935,1,27968,RURAL
DUNDAS,11597,1935,1,11597,RURAL
ESSENDON,23709,1935,1,23709,URBAN
EVELYN,11264,1935,1,11264,RURAL
FLEMINGTON,22280,1935,1,22280,URBAN
BURWOOD,27458,1979,1,27458,URBAN
GEELONG,18647,1935,1,18647,METRO
GIPPSLAND EAST,7998,1935,1,7998,RURAL
GIPPSLAND NORTH,10930,1935,1,10930,RURAL
GIPPSLAND SOUTH,11422,1935,1,11422,RURAL
GIPPSLAND WEST,11419,1935,1,11419,RURAL
GOULBURN VALLEY,11974,1935,1,11974,RURAL
BURWOOD,26293,1982,1,26293,URBAN
GUNBOWER,11613,1935,1,11613,RURAL
HAMPDEN,11144,1935,1,11144,RURAL
HAWTHORN,23956,1935,1,23956,URBAN
BURWOOD,29873,1985,1,29873,URBAN
BURWOOD,28868,1988,1,28868,URBAN
BURWOOD,33375,1992,1,33375,URBAN
BURWOOD,33722,1996,1,33722,URBAN
LOWAN,11923,1935,1,11923,RURAL
BURWOOD,34668,1999,1,34668,URBAN
MELBOURNE,20754,1935,1,20754,URBAN
BURWOOD,37923,2002,1,37923,URBAN
MORNINGTON,13232,1935,1,13232,RURAL
BURWOOD,38284,2006,1,38284,URBAN
BURWOOD,38951,2010,1,38951,URBAN
BURWOOD,41878,2014,1,41878,URBAN
BURWOOD,43169,2018,1,43169,URBAN
POLWARTH,11665,1935,1,11665,RURAL
CAMBERWELL,25135,1945,1,25135,URBAN
PORT MELBOURNE,22253,1935,1,22253,URBAN
PRAHRAN,25454,1935,1,25454,URBAN
RICHMOND,24310,1935,1,24310,URBAN
RODNEY,11991,1935,1,11991,RURAL
ST KILDA,26417,1935,1,26417,URBAN
STAWELL AND ARARAT,11772,1935,1,11772,RURAL
CAMBERWELL,26885,1947,1,26885,URBAN
TOORAK,23817,1935,1,23817,URBAN
UPPER GOULBURN,9717,1935,1,9717,RURAL
CAMBERWELL,27066,1950,1,27066,URBAN
WALHALLA,10772,1935,1,10772,RURAL
CAMBERWELL,28618,1952,1,28618,URBAN
WARANGA,9579,1935,1,9579,RURAL
CAMBERWELL,21852,1955,1,21852,URBAN
WARRNAMBOOL,12117,1935,1,12117,RURAL
WILLIAMSTOWN,22676,1935,1,22676,URBAN
CAMBERWELL,21009,1958,1,21009,URBAN
ALBERT PARK,24087,1937,1,24087,URBAN
ALLENDALE,10245,1937,1,10245,RURAL
CAMBERWELL,20642,1961,1,20642,URBAN
BARWON,12812,1937,1,12812,RURAL
BENALLA,11408,1937,1,11408,RURAL
BENAMBRA,8954,1937,1,8954,RURAL
CAMBERWELL,20597,1964,1,20597,URBAN
BOROONDARA,31327,1937,1,31327,URBAN
BRIGHTON,28968,1937,1,28968,URBAN
BRUNSWICK,26454,1937,1,26454,URBAN
CAMBERWELL,24973,1967,1,24973,URBAN
CARLTON,21839,1937,1,21839,URBAN
CAMBERWELL,24742,1970,1,24742,URBAN
CAMBERWELL,25878,1973,1,25878,URBAN
CARLTON SOUTH,2310,1897,1,2310,URBAN
CARLTON SOUTH,2844,1900,1,2844,URBAN
COLLINGWOOD,23326,1937,1,23326,URBAN
DANDENONG,30516,1937,1,30516,RURAL
DUNDAS,12186,1937,1,12186,RURAL
ESSENDON,24842,1937,1,24842,URBAN
EVELYN,11672,1937,1,11672,RURAL
FLEMINGTON,22384,1937,1,22384,URBAN
CARLTON SOUTH,2671,1902,1,2671,URBAN
GEELONG,19168,1937,1,19168,METRO
GIPPSLAND EAST,8040,1937,1,8040,RURAL
GIPPSLAND NORTH,11185,1937,1,11185,RURAL
GIPPSLAND SOUTH,11504,1937,1,11504,RURAL
GIPPSLAND WEST,11467,1937,1,11467,RURAL
GOULBURN VALLEY,12426,1937,1,12426,RURAL
CARRUM,28728,1976,1,28728,URBAN
GUNBOWER,11467,1937,1,11467,RURAL
HAMPDEN,11165,1937,1,11165,RURAL
HAWTHORN,25770,1937,1,25770,URBAN
CARRUM,30171,1979,1,30171,URBAN
CARRUM,31367,1982,1,31367,URBAN
CARRUM,28696,1985,1,28696,URBAN
CARRUM,30288,1988,1,30288,URBAN
LOWAN,12173,1937,1,12173,RURAL
CARRUM,33458,1992,1,33458,URBAN
MELBOURNE,20180,1937,1,20180,URBAN
CARRUM,35676,1996,1,35676,URBAN
MORNINGTON,13451,1937,1,13451,RURAL
CARRUM,38150,1999,1,38150,URBAN
CARRUM,38869,2002,1,38869,URBAN
CARRUM,39516,2006,1,39516,URBAN
CARRUM,42415,2010,1,42415,URBAN
POLWARTH,11766,1937,1,11766,RURAL
CARRUM,44578,2014,1,44578,URBAN
PORT MELBOURNE,21406,1937,1,21406,URBAN
PRAHRAN,25570,1937,1,25570,URBAN
RICHMOND,25129,1937,1,25129,URBAN
RODNEY,12027,1937,1,12027,RURAL
ST KILDA,28999,1937,1,28999,URBAN
STAWELL AND ARARAT,11938,1937,1,11938,RURAL
CARRUM,48726,2018,1,48726,URBAN
TOORAK,24869,1937,1,24869,URBAN
UPPER GOULBURN,9761,1937,1,9761,RURAL
CASTLEMAINE,3385,1897,2,1692.5,RURAL
WALHALLA,11456,1937,1,11456,RURAL
CASTLEMAINE,4056,1900,2,2028,RURAL
WARANGA,9493,1937,1,9493,RURAL
CASTLEMAINE,3870,1902,2,1935,RURAL
WARRNAMBOOL,12311,1937,1,12311,RURAL
WILLIAMSTOWN,23364,1937,1,23364,URBAN
CASTLEMAINE AND KYNETON,9928,1927,1,9928,RURAL
ALBERT PARK,24316,1940,1,24316,URBAN
ALLENDALE,9956,1940,1,9956,RURAL
CASTLEMAINE AND KYNETON,10291,1929,1,10291,RURAL
BARWON,13237,1940,1,13237,RURAL
BENALLA,11190,1940,1,11190,RURAL
BENAMBRA,9122,1940,1,9122,RURAL
CASTLEMAINE AND KYNETON,10732,1932,1,10732,RURAL
BOROONDARA,34198,1940,1,34198,URBAN
BRIGHTON,31341,1940,1,31341,URBAN
BRUNSWICK,27426,1940,1,27426,URBAN
CASTLEMAINE AND KYNETON,10820,1935,1,10820,RURAL
CARLTON,21532,1940,1,21532,URBAN
CASTLEMAINE AND KYNETON,11140,1937,1,11140,RURAL
CASTLEMAINE AND KYNETON,10811,1940,1,10811,RURAL
CASTLEMAINE AND KYNETON,10732,1943,1,10732,RURAL
CAULFIELD,23388,1927,1,23388,URBAN
COLLINGWOOD,23018,1940,1,23018,URBAN
DANDENONG,33158,1940,1,33158,RURAL
DUNDAS,12364,1940,1,12364,RURAL
ESSENDON,26556,1940,1,26556,URBAN
EVELYN,11873,1940,1,11873,RURAL
FLEMINGTON,23278,1940,1,23278,URBAN
CAULFIELD,24591,1929,1,24591,URBAN
GEELONG,19494,1940,1,19494,METRO
GIPPSLAND EAST,7886,1940,1,7886,RURAL
GIPPSLAND NORTH,11033,1940,1,11033,RURAL
GIPPSLAND SOUTH,12048,1940,1,12048,RURAL
GIPPSLAND WEST,11443,1940,1,11443,RURAL
GOULBURN VALLEY,12696,1940,1,12696,RURAL
CAULFIELD,24870,1932,1,24870,URBAN
GUNBOWER,11229,1940,1,11229,RURAL
HAMPDEN,11090,1940,1,11090,RURAL
HAWTHORN,25869,1940,1,25869,URBAN
CAULFIELD,25557,1935,1,25557,URBAN
CAULFIELD,27834,1937,1,27834,URBAN
CAULFIELD,29438,1940,1,29438,URBAN
CAULFIELD,32473,1943,1,32473,URBAN
LOWAN,12398,1940,1,12398,RURAL
CAULFIELD,25018,1945,1,25018,URBAN
MELBOURNE,20590,1940,1,20590,URBAN
CAULFIELD,25644,1947,1,25644,URBAN
MORNINGTON,14285,1940,1,14285,RURAL
CAULFIELD,23785,1950,1,23785,URBAN
CAULFIELD,22279,1952,1,22279,URBAN
CAULFIELD,18205,1955,1,18205,URBAN
CAULFIELD,21916,1958,1,21916,URBAN
POLWARTH,11882,1940,1,11882,RURAL
CAULFIELD,21439,1961,1,21439,URBAN
PORT MELBOURNE,21462,1940,1,21462,URBAN
PRAHRAN,25936,1940,1,25936,URBAN
RICHMOND,23769,1940,1,23769,URBAN
RODNEY,11993,1940,1,11993,RURAL
ST KILDA,30920,1940,1,30920,URBAN
STAWELL AND ARARAT,11767,1940,1,11767,RURAL
CAULFIELD,21310,1964,1,21310,URBAN
TOORAK,25017,1940,1,25017,URBAN
UPPER GOULBURN,9607,1940,1,9607,RURAL
CAULFIELD,26248,1967,1,26248,URBAN
WALHALLA,11953,1940,1,11953,RURAL
CAULFIELD,26691,1970,1,26691,URBAN
WARANGA,9020,1940,1,9020,RURAL
CAULFIELD,29360,1973,1,29360,URBAN
WARRNAMBOOL,12606,1940,1,12606,RURAL
WILLIAMSTOWN,24309,1940,1,24309,URBAN
CAULFIELD,30192,1976,1,30192,URBAN
ALBERT PARK,28881,1943,1,28881,URBAN
ALLENDALE,9486,1943,1,9486,RURAL
CAULFIELD,27954,1979,1,27954,URBAN
BARWON,13828,1943,1,13828,RURAL
BENALLA,10872,1943,1,10872,RURAL
BENAMBRA,9506,1943,1,9506,RURAL
CAULFIELD,26979,1982,1,26979,URBAN
BOROONDARA,39261,1943,1,39261,URBAN
BRIGHTON,35993,1943,1,35993,URBAN
BRUNSWICK,29664,1943,1,29664,URBAN
CAULFIELD,30759,1985,1,30759,URBAN
CARLTON,22723,1943,1,22723,URBAN
CAULFIELD,28881,1988,1,28881,URBAN
CAULFIELD,34806,1992,1,34806,URBAN
CAULFIELD,36424,1996,1,36424,URBAN
CAULFIELD,37601,1999,1,37601,URBAN
COLLINGWOOD,24496,1943,1,24496,URBAN
DANDENONG,39698,1943,1,39698,RURAL
DUNDAS,12385,1943,1,12385,RURAL
ESSENDON,30894,1943,1,30894,URBAN
EVELYN,13259,1943,1,13259,RURAL
FLEMINGTON,25925,1943,1,25925,URBAN
CAULFIELD,36314,2002,1,36314,URBAN
GEELONG,20395,1943,1,20395,METRO
GIPPSLAND EAST,7443,1943,1,7443,RURAL
GIPPSLAND NORTH,11180,1943,1,11180,RURAL
GIPPSLAND SOUTH,13018,1943,1,13018,RURAL
GIPPSLAND WEST,12061,1943,1,12061,RURAL
GOULBURN VALLEY,12712,1943,1,12712,RURAL
CAULFIELD,36491,2006,1,36491,URBAN
GUNBOWER,10439,1943,1,10439,RURAL
HAMPDEN,10735,1943,1,10735,RURAL
HAWTHORN,28500,1943,1,28500,URBAN
CAULFIELD,37692,2010,1,37692,URBAN
CAULFIELD,41992,2014,1,41992,URBAN
CAULFIELD,45222,2018,1,45222,URBAN
CAULFIELD EAST,22789,1955,1,22789,URBAN
LOWAN,11952,1943,1,11952,RURAL
CLARINDA,43698,2014,1,43698,URBAN
MELBOURNE,23712,1943,1,23712,URBAN
CLARINDA,44462,2018,1,44462,URBAN
MORNINGTON,15525,1943,1,15525,RURAL
CLAYTON,30153,1985,1,30153,URBAN
CLAYTON,30052,1988,1,30052,URBAN
CLAYTON,34141,1992,1,34141,URBAN
CLAYTON,35509,1996,1,35509,URBAN
POLWARTH,11884,1943,1,11884,RURAL
CLAYTON,36653,1999,1,36653,URBAN
PORT MELBOURNE,22668,1943,1,22668,URBAN
PRAHRAN,32947,1943,1,32947,URBAN
RICHMOND,26162,1943,1,26162,URBAN
RODNEY,11678,1943,1,11678,RURAL
ST KILDA,33617,1943,1,33617,URBAN
STAWELL AND ARARAT,11174,1943,1,11174,RURAL
CLAYTON,34674,2002,1,34674,URBAN
TOORAK,30232,1943,1,30232,URBAN
UPPER GOULBURN,9987,1943,1,9987,RURAL
CLAYTON,33398,2006,1,33398,URBAN
WALHALLA,13343,1943,1,13343,RURAL
CLAYTON,33843,2010,1,33843,URBAN
WARANGA,8602,1943,1,8602,RURAL
CLIFTON HILL,24347,1927,1,24347,URBAN
WARRNAMBOOL,12609,1943,1,12609,RURAL
WILLIAMSTOWN,26497,1943,1,26497,URBAN
CLIFTON HILL,23189,1929,1,23189,URBAN
ALBERT PARK,25431,1945,1,25431,URBAN
ALLENDALE,14444,1945,1,14444,RURAL
CLIFTON HILL,23406,1932,1,23406,URBAN
BARWON,14272,1945,1,14272,RURAL
BENALLA,12947,1945,1,12947,RURAL
BENAMBRA,12297,1945,1,12297,RURAL
CLIFTON HILL,23877,1935,1,23877,URBAN
BORUNG,12999,1945,1,12999,RURAL
CLIFTON HILL,24329,1937,1,24329,URBAN
BRIGHTON,25681,1945,1,25681,URBAN
BRUNSWICK,26742,1945,1,26742,URBAN
CLIFTON HILL,24131,1940,1,24131,URBAN
CARLTON,25575,1945,1,25575,URBAN
CLIFTON HILL,25553,1943,1,25553,URBAN
CLIFTON HILL,26112,1945,1,26112,URBAN
CLIFTON HILL,26947,1947,1,26947,URBAN
COLLINGWOOD,25855,1945,1,25855,URBAN
DANDENONG,24009,1945,1,24009,RURAL
DUNDAS,13791,1945,1,13791,RURAL
CLIFTON HILL,25422,1950,1,25422,URBAN
ESSENDON,25117,1945,1,25117,URBAN
EVELYN,13580,1945,1,13580,RURAL
CLIFTON HILL,23293,1952,1,23293,URBAN
GEELONG,20755,1945,1,20755,METRO
GIPPSLAND EAST,12015,1945,1,12015,RURAL
GIPPSLAND NORTH,13031,1945,1,13031,RURAL
GIPPSLAND SOUTH,13883,1945,1,13883,RURAL
GIPPSLAND WEST,14389,1945,1,14389,RURAL
CLUNES AND ALLANDALE,1743,1897,1,1743,RURAL
CLUNES AND ALLANDALE,1744,1900,1,1744,RURAL
CLUNES AND ALLANDALE,1654,1902,1,1654,RURAL
HAMPDEN,14126,1945,1,14126,RURAL
HAWTHORN,25451,1945,1,25451,URBAN
COBURG,20528,1927,1,20528,URBAN
COBURG,23308,1929,1,23308,URBAN
KORONG,12884,1945,1,12884,RURAL
COBURG,24369,1932,1,24369,URBAN
MELBOURNE,26354,1945,1,26354,URBAN
COBURG,25864,1935,1,25864,URBAN
COBURG,27404,1937,1,27404,URBAN
COBURG,29098,1940,1,29098,URBAN
COBURG,32906,1943,1,32906,URBAN
COBURG,24441,1945,1,24441,URBAN
MORNINGTON,14006,1945,1,14006,RURAL
COBURG,25629,1947,1,25629,URBAN
COBURG,25631,1950,1,25631,URBAN
COBURG,25438,1952,1,25438,URBAN
POLWARTH,13753,1945,1,13753,RURAL
PORT MELBOURNE,26747,1945,1,26747,URBAN
COBURG,22829,1955,1,22829,URBAN
PRAHRAN,26746,1945,1,26746,URBAN
COBURG,21911,1958,1,21911,URBAN
COBURG,21501,1961,1,21501,URBAN
COBURG,20970,1964,1,20970,URBAN
RODNEY,14104,1945,1,14104,RURAL
ST KILDA,24855,1945,1,24855,URBAN
COBURG,23869,1967,1,23869,URBAN
COBURG,23289,1970,1,23289,URBAN
COBURG,23606,1973,1,23606,URBAN
COBURG,28927,1976,1,28927,URBAN
TOORAK,25608,1945,1,25608,URBAN
WARRNAMBOOL,13871,1945,1,13871,RURAL
WILLIAMSTOWN,25281,1945,1,25281,URBAN
COBURG,28773,1979,1,28773,URBAN
ALBERT PARK,26921,1947,1,26921,URBAN
ALLENDALE,15101,1947,1,15101,RURAL
COBURG,29323,1982,1,29323,URBAN
BARWON,15546,1947,1,15546,RURAL
BENALLA,13510,1947,1,13510,RURAL
BENAMBRA,12503,1947,1,12503,RURAL
COBURG,30688,1985,1,30688,URBAN
BORUNG,13382,1947,1,13382,RURAL
COBURG,29335,1988,1,29335,URBAN
BRIGHTON,27819,1947,1,27819,URBAN
BRUNSWICK,26281,1947,1,26281,URBAN
COBURG,33221,1992,1,33221,URBAN
CARLTON,27343,1947,1,27343,URBAN
COBURG,34394,1996,1,34394,URBAN
COBURG,35338,1999,1,35338,URBAN
CRANBOURNE,33106,1992,1,33106,URBAN
COLLINGWOOD,27055,1947,1,27055,URBAN
DANDENONG,27663,1947,1,27663,RURAL
DUNDAS,14721,1947,1,14721,RURAL
CRANBOURNE,38062,1996,1,38062,URBAN
ESSENDON,26936,1947,1,26936,URBAN
EVELYN,15459,1947,1,15459,RURAL
CRANBOURNE,41084,1999,1,41084,URBAN
GEELONG,21860,1947,1,21860,METRO
GIPPSLAND EAST,12598,1947,1,12598,RURAL
GIPPSLAND NORTH,14096,1947,1,14096,RURAL
GIPPSLAND SOUTH,14777,1947,1,14777,RURAL
GIPPSLAND WEST,15452,1947,1,15452,RURAL
CRANBOURNE,34009,2002,1,34009,URBAN
CRANBOURNE,40541,2006,1,40541,URBAN
CRANBOURNE,48076,2010,1,48076,URBAN
HAMPDEN,14426,1947,1,14426,RURAL
HAWTHORN,25775,1947,1,25775,URBAN
CRANBOURNE,45863,2014,1,45863,URBAN
CRANBOURNE,61814,2018,1,61814,URBAN
KORONG,12995,1947,1,12995,RURAL
CRESWICK,1941,1897,1,1941,URBAN
MELBOURNE,26462,1947,1,26462,URBAN
CRESWICK,1812,1900,1,1812,URBAN
CRESWICK,1857,1902,1,1857,URBAN
CROYDON,40730,2014,1,40730,URBAN
CROYDON,42995,2018,1,42995,URBAN
DANDENONG AND BERWICK,3572,1897,1,3572,RURAL
MORNINGTON,16371,1947,1,16371,RURAL
DANDENONG AND BERWICK,4179,1900,1,4179,RURAL
DANDENONG AND BERWICK,4475,1902,1,4475,RURAL
DANDENONG NORTH,28672,1985,1,28672,URBAN
POLWARTH,14266,1947,1,14266,RURAL
PORT MELBOURNE,27922,1947,1,27922,URBAN
DANDENONG NORTH,29751,1988,1,29751,URBAN
PRAHRAN,27361,1947,1,27361,URBAN
DANDENONG NORTH,32542,1992,1,32542,URBAN
DANDENONG NORTH,33225,1996,1,33225,URBAN
RICHMOND,27019,1947,1,27019,URBAN
DANDENONG NORTH,33802,1999,1,33802,URBAN
RODNEY,14392,1947,1,14392,RURAL
ST KILDA,25837,1947,1,25837,URBAN
DEER PARK,29969,1967,1,29969,URBAN
DEER PARK,37093,1970,1,37093,URBAN
DEER PARK,48933,1973,1,48933,URBAN
DELATITE,2528,1897,1,2528,RURAL
TOORAK,26161,1947,1,26161,URBAN
WARRNAMBOOL,14469,1947,1,14469,RURAL
WILLIAMSTOWN,26701,1947,1,26701,URBAN
DELATITE,2592,1900,1,2592,RURAL
ALBERT PARK,25615,1950,1,25615,URBAN
ALLENDALE,15337,1950,1,15337,RURAL
DELATITE,2670,1902,1,2670,RURAL
BARWON,16150,1950,1,16150,RURAL
BENALLA,13786,1950,1,13786,RURAL
BENAMBRA,13559,1950,1,13559,RURAL
DERRIMUT,29159,1985,1,29159,URBAN
BORUNG,13692,1950,1,13692,RURAL
DERRIMUT,32258,1988,1,32258,URBAN
BRIGHTON,28430,1950,1,28430,URBAN
BRUNSWICK,25076,1950,1,25076,URBAN
DERRIMUT,34611,2002,1,34611,URBAN
CARLTON,26138,1950,1,26138,URBAN
DERRIMUT,35906,2006,1,35906,URBAN
DERRIMUT,40846,2010,1,40846,URBAN
DONALD AND SWAN HILL,6000,1897,1,6000,RURAL
COLLINGWOOD,25664,1950,1,25664,URBAN
DANDENONG,35118,1950,1,35118,RURAL
DUNDAS,15103,1950,1,15103,RURAL
DONALD AND SWAN HILL,6175,1900,1,6175,RURAL
ESSENDON,29622,1950,1,29622,URBAN
EVELYN,17076,1950,1,17076,RURAL
DONALD AND SWAN HILL,6140,1902,1,6140,RURAL
GEELONG,21578,1950,1,21578,METRO
GIPPSLAND EAST,13156,1950,1,13156,RURAL
GIPPSLAND NORTH,16243,1950,1,16243,RURAL
GIPPSLAND SOUTH,16282,1950,1,16282,RURAL
GIPPSLAND WEST,16035,1950,1,16035,RURAL
DONALD AND SWAN HILL,3294,1904,1,3294,RURAL
DONALD AND SWAN HILL,3114,1907,1,3114,RURAL
DONALD AND SWAN HILL,3246,1908,1,3246,RURAL
HAMPDEN,14476,1950,1,14476,RURAL
HAWTHORN,24081,1950,1,24081,URBAN
DONALD AND SWAN HILL,9978,1911,1,9978,RURAL
DONALD AND SWAN HILL,13400,1914,1,13400,RURAL
KORONG,12780,1950,1,12780,RURAL
DONALD AND SWAN HILL,13950,1917,1,13950,RURAL
MELBOURNE,24221,1950,1,24221,URBAN
DONALD AND SWAN HILL,17619,1920,1,17619,RURAL
DONALD AND SWAN HILL,18135,1921,1,18135,RURAL
DONALD AND SWAN HILL,21313,1924,1,21313,RURAL
DONALD AND SWAN HILL,8837,1927,1,8837,RURAL
DONALD AND SWAN HILL,9220,1929,1,9220,RURAL
MORNINGTON,17967,1950,1,17967,RURAL
DONALD AND SWAN HILL,9172,1932,1,9172,RURAL
DONALD AND SWAN HILL,9775,1935,1,9775,RURAL
DONALD AND SWAN HILL,9407,1937,1,9407,RURAL
POLWARTH,14735,1950,1,14735,RURAL
PORT MELBOURNE,26680,1950,1,26680,URBAN
DONALD AND SWAN HILL,9176,1940,1,9176,RURAL
PRAHRAN,24805,1950,1,24805,URBAN
DONALD AND SWAN HILL,8915,1943,1,8915,RURAL
DONALD AND SWAN HILL,13411,1945,1,13411,RURAL
RICHMOND,25304,1950,1,25304,URBAN
DONALD AND SWAN HILL,13684,1947,1,13684,RURAL
RODNEY,14600,1950,1,14600,RURAL
ST KILDA,23724,1950,1,23724,URBAN
DONALD AND SWAN HILL,14042,1950,1,14042,RURAL
DONALD AND SWAN HILL,14315,1952,1,14315,RURAL
DONALD AND SWAN HILL,18847,1955,1,18847,RURAL
DONALD AND SWAN HILL,19727,1958,1,19727,RURAL
TOORAK,22889,1950,1,22889,URBAN
WARRNAMBOOL,14506,1950,1,14506,RURAL
WILLIAMSTOWN,26983,1950,1,26983,URBAN
DONALD AND SWAN HILL,19703,1961,1,19703,RURAL
ALBERT PARK,22280,1952,1,22280,URBAN
ALLENDALE,15929,1952,1,15929,RURAL
DONALD AND SWAN HILL,20109,1964,1,20109,RURAL
BARWON,17675,1952,1,17675,RURAL
BENALLA,13646,1952,1,13646,RURAL
BENAMBRA,14050,1952,1,14050,RURAL
DONALD AND SWAN HILL,18434,1967,1,18434,RURAL
BORUNG,13911,1952,1,13911,RURAL
DONALD AND SWAN HILL,18726,1970,1,18726,RURAL
BRIGHTON,27525,1952,1,27525,URBAN
BRUNSWICK,22887,1952,1,22887,URBAN
DONALD AND SWAN HILL,19808,1973,1,19808,RURAL
CARLTON,23883,1952,1,23883,URBAN
DONALD AND SWAN HILL,25087,1976,1,25087,RURAL
DONALD AND SWAN HILL,25922,1979,1,25922,RURAL
DONALD AND SWAN HILL,26561,1982,1,26561,RURAL
COLLINGWOOD,24077,1952,1,24077,URBAN
DANDENONG,45752,1952,1,45752,RURAL
DUNDAS,15407,1952,1,15407,RURAL
DONALD AND SWAN HILL,28043,1985,1,28043,RURAL
ESSENDON,33201,1952,1,33201,URBAN
EVELYN,19024,1952,1,19024,RURAL
DONALD AND SWAN HILL,28014,1988,1,28014,RURAL
GEELONG,21255,1952,1,21255,METRO
GIPPSLAND EAST,13539,1952,1,13539,RURAL
GIPPSLAND NORTH,18403,1952,1,18403,RURAL
GIPPSLAND SOUTH,19356,1952,1,19356,RURAL
GIPPSLAND WEST,16603,1952,1,16603,RURAL
DONALD AND SWAN HILL,31530,1992,1,31530,RURAL
DONALD AND SWAN HILL,30788,1996,1,30788,RURAL
DONALD AND SWAN HILL,30088,1999,1,30088,RURAL
HAMPDEN,14929,1952,1,14929,RURAL
HAWTHORN,22133,1952,1,22133,URBAN
DONALD AND SWAN HILL,34662,2002,1,34662,RURAL
DONALD AND SWAN HILL,33731,2006,1,33731,RURAL
KORONG,12767,1952,1,12767,RURAL
