DISTRICT,EN,YEAR,SEATS,PROP,Category
MARYBOROUGH,2225,1900,1,2225,RURAL
MELBOURNE,4867,1900,1,4867,URBAN
BENDIGO,17971,1935,1,17971,METRO
BENDIGO,18612,1937,1,18612,METRO
BENDIGO,17950,1940,1,17950,METRO
BENDIGO,18507,1943,1,18507,METRO
MORNINGTON,4458,1900,1,4458,RURAL
BENDIGO,20917,1945,1,20917,METRO
BENDIGO,21783,1947,1,21783,METRO
OVENS,2215,1900,1,2215,RURAL
POLWARTH,3351,1900,1,3351,RURAL
PORT FAIRY,2081,1900,1,2081,RURAL
PORT MELBOURNE,2676,1900,1,2676,URBAN
BENDIGO,22366,1950,1,22366,METRO
PRAHRAN,3491,1900,1,3491,URBAN
RICHMOND,6021,1900,2,3010.5,URBAN
BENDIGO,23344,1952,1,23344,METRO
RODNEY,5649,1900,2,2824.5,RURAL
ST KILDA,3959,1900,1,3959,URBAN
BENDIGO,21308,1955,1,21308,METRO
BENDIGO,21868,1958,1,21868,METRO
BENDIGO,21894,1961,1,21894,METRO
BENDIGO,22157,1964,1,22157,METRO
BENDIGO,22808,1967,1,22808,METRO
BENDIGO,23715,1970,1,23715,METRO
TOORAK,4895,1900,1,4895,URBAN
BENDIGO,26483,1973,1,26483,METRO
BENDIGO,25704,1976,1,25704,METRO
WARRENHEIP,2200,1900,1,2200,RURAL
WARRNAMBOOL,2634,1900,1,2634,RURAL
WILLIAMSTOWN,3238,1900,1,3238,URBAN
BENDIGO,27203,1979,1,27203,METRO
BENDIGO,28094,1982,1,28094,METRO
ALBERT PARK,3129,1902,1,3129,URBAN
BENNETTSWOOD,25753,1967,1,25753,URBAN
BENNETTSWOOD,27469,1970,1,27469,URBAN
BALLARAT EAST,3417,1902,1,3417,METRO
BALLARAT WEST,6430,1902,2,3215,METRO
BARWON,2383,1902,1,2383,RURAL
BENNETTSWOOD,30790,1973,1,30790,URBAN
BENAMBRA,2403,1902,1,2403,RURAL
BENNETTSWOOD,28788,1976,1,28788,URBAN
BORUNG,3043,1902,1,3043,RURAL
BENNETTSWOOD,28444,1979,1,28444,URBAN
BENNETTSWOOD,28666,1982,1,28666,URBAN
